Category name,total questions,correct questions,Performance,Job Profile Name,User name,correctness
Attention to Detail,1,9,can't predict,Data Analyst,lara,900.0
Domain Knowledge,6,8,can't predict,Data Analyst,jefforson,133.33
Natural Language Processing ,7,5,Good,Data Analyst,andrew,71.43
Networking Skills,3,6,can't predict,Data Analyst,jefforson,200.0
Risk Assessment and Management,5,2,Below Average,Artificial Intelligence (AI) Engineer,jefforson,40.0
Security Policies and Compliance,9,3,Poor,Cybersecurity Analyst,jefforson,33.33
Performance Tuning,7,8,can't predict,Data Analyst,lara,114.29
Data Visualization,8,8,Excellent,Cybersecurity Analyst,lara,100.0
Programming Skills,8,8,Excellent,Data Analyst,robin,100.0
Problem-Solving Abilities,7,5,Good,Data Analyst,andrew,71.43
Web Development Tools,10,1,Extremely Poor,Data Analyst,jefforson,10.0
Database Knowledge,7,1,Extremely Poor,Cybersecurity Analyst,lara,14.29
Problem-Solving Abilities,4,5,can't predict,Cybersecurity Analyst,john,125.0
Understanding of Security Tools,4,8,can't predict,Artificial Intelligence (AI) Engineer,john,200.0
Data Visualization,6,4,Above Average,Database Administrator,robin,66.67
"APIs (RESTful, GraphQL)",7,7,Excellent,Data Analyst,john,100.0
Data Handling,6,4,Above Average,Artificial Intelligence (AI) Engineer,lara,66.67
Domain Knowledge,3,4,can't predict,Full Stack Developer,andrew,133.33
Front-end Technologies,7,9,can't predict,Full Stack Developer,jefforson,128.57
Scripting and Automation,8,2,Very Poor,Artificial Intelligence (AI) Engineer,andrew,25.0
SQL and Query Optimization,10,7,Good,Data Analyst,lara,70.0
Version Control/Git,5,6,can't predict,Data Analyst,jefforson,120.0
Programming Skills,7,4,Average,Database Administrator,andrew,57.14
Data Visualization,7,5,Good,Database Administrator,jefforson,71.43
Programming skills,9,10,can't predict,Database Administrator,lara,111.11
Domain Knowledge,5,6,can't predict,Data Analyst,lara,120.0
Natural Language Processing ,8,1,Extremely Poor,Full Stack Developer,andrew,12.5
Domain Knowledge,6,6,Excellent,Database Administrator,robin,100.0
Knowledge of Security Tools,4,10,can't predict,Cybersecurity Analyst,jefforson,250.0
Database Knowledge,7,3,Below Average,Full Stack Developer,john,42.86
Database Management,5,9,can't predict,Data Analyst,andrew,180.0
Scripting and Automation,6,0,Needs Improvement,Cybersecurity Analyst,lara,0.0
Natural Language Processing ,10,10,Excellent,Data Analyst,lara,100.0
Knowledge of Security Tools,7,5,Good,Artificial Intelligence (AI) Engineer,andrew,71.43
Security Policies and Compliance,4,1,Very Poor,Cybersecurity Analyst,robin,25.0
Programming Skills,5,2,Below Average,Full Stack Developer,john,40.0
Back-end Technologies,7,8,can't predict,Cybersecurity Analyst,andrew,114.29
Domain Knowledge,4,7,can't predict,Data Analyst,jefforson,175.0
Machine Learning,4,2,Average,Data Analyst,john,50.0
Database Security,6,2,Poor,Data Analyst,andrew,33.33
Data Modeling and Design,7,2,Very Poor,Data Analyst,john,28.57
Statistical Knowledge,1,5,can't predict,Data Analyst,lara,500.0
Natural Language Processing ,4,10,can't predict,Full Stack Developer,john,250.0
Natural Language Processing ,2,0,Needs Improvement,Data Analyst,john,0.0
Attention to Detail,8,10,can't predict,Cybersecurity Analyst,andrew,125.0
Problem-Solving Abilities,8,8,Excellent,Cybersecurity Analyst,lara,100.0
Analytical Skills,5,8,can't predict,Cybersecurity Analyst,andrew,160.0
Backup and Recovery,10,7,Good,Artificial Intelligence (AI) Engineer,jefforson,70.0
Machine Learning,1,5,can't predict,Database Administrator,jefforson,500.0
Security Tools,6,0,Needs Improvement,Full Stack Developer,jefforson,0.0
Scripting and Automation,1,4,can't predict,Artificial Intelligence (AI) Engineer,andrew,400.0
Cyber Threat Intelligence,6,10,can't predict,Full Stack Developer,jefforson,166.67
"APIs (RESTful, GraphQL)",2,1,Average,Data Analyst,andrew,50.0
Domain Knowledge,8,4,Average,Database Administrator,john,50.0
Data Modeling and Design,7,6,Very Good,Data Analyst,andrew,85.71
Data Visualization,9,2,Very Poor,Full Stack Developer,jefforson,22.22
Domain Knowledge,3,10,can't predict,Database Administrator,john,333.33
